dataset,Beta,Gamma,Delta,Accuracy,FitnessNormalized,SpearmanCorrelation
digits,0.75,0.25,0.05,0.9410092386373009,0.7845301783264746,0.2728745674572367
digits,0.5,0.5,0.1,0.9402635486265775,0.6159087791495199,0.3951586251605261
digits,0.75,0.5,0.1,0.9397092303885176,0.6696954732510288,0.24409780090486763
digits,0.5,0.5,0.05,0.9365507712612389,0.6335185185185185,0.34102262867879146
digits,0.75,0.75,0.05,0.9361816382083643,0.6275960219478738,0.231563900749864
digits,0.25,0.75,0.05,0.9352590117957601,0.4934310699588477,0.21280546449846435
digits,0.75,0.25,0.1,0.9346989194093872,0.7631018518518519,0.21520891479389573
digits,0.25,0.75,0.1,0.9345087849542192,0.4849074074074074,0.2733033591019403
digits,0.75,0.75,0.1,0.9343268992823558,0.6169650205761318,0.21603312501145477
digits,0.25,0.25,0.05,0.933399323599769,0.6292661179698215,0.3094806206677362
digits,0.5,0.25,0.1,0.9332166130495753,0.7087608596250572,0.2256672901796161
digits,0.75,0.5,0.05,0.9330301905468944,0.6975912208504802,0.2901569832954574
digits,0.25,0.5,0.05,0.932848717314196,0.5352103337905806,0.33627989612131004
digits,0.5,0.75,0.05,0.9328425307267177,0.569201646090535,0.14897480043975442
digits,0.5,0.25,0.05,0.9324684484038605,0.7318175582990397,0.2239271101814483
digits,0.25,0.5,0.1,0.9309877918007095,0.5195244627343393,0.17368066850077366
digits,0.5,0.75,0.1,0.9298791553245896,0.5565349794238683,0.18778368405209764
digits,0.25,0.25,0.1,0.9291318155572054,0.6126371742112483,0.2446837233673027
