Iteration,Result
1,0.8555555555555555
2,0.8444444444444444
3,0.8583333333333333
4,0.8444444444444444
5,0.8861111111111111
6,0.8722222222222222
7,0.8138888888888889
8,0.8611111111111112
9,0.8472222222222222
10,0.8416666666666667
11,0.8361111111111111
12,0.8777777777777778
13,0.8916666666666667
14,0.8777777777777778
15,0.8305555555555556
16,0.8388888888888889
17,0.8722222222222222
18,0.8472222222222222
19,0.8416666666666667
20,0.8444444444444444
21,0.8472222222222222
22,0.9
23,0.8694444444444445
24,0.8833333333333333
25,0.8416666666666667
26,0.8583333333333333
27,0.8444444444444444
28,0.8333333333333334
29,0.8361111111111111
30,0.8388888888888889
31,0.8416666666666667
32,0.8527777777777777
33,0.8055555555555556
34,0.8027777777777778
35,0.8611111111111112
36,0.8388888888888889
37,0.825
38,0.8444444444444444
39,0.8361111111111111
40,0.8833333333333333
41,0.8611111111111112
42,0.85
43,0.8861111111111111
44,0.8194444444444444
45,0.8666666666666667
46,0.8
47,0.8333333333333334
48,0.8416666666666667
49,0.8138888888888889
50,0.8833333333333333
